r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.87,47.80,8.20,3.06,22.47,153.43
1.74,98.90,8.20,12.07,39.91,217.64
2.61,146.00,7.70,14.22,54.38,259.32
3.50,164.00,6.40,13.58,67.47,273.94
4.37,174.00,5.95,15.41,76.15,256.31
5.24,175.00,6.00,20.15,86.20,236.55
6.11,184.00,6.40,23.71,98.08,219.32
6.98,185.00,6.40,21.44,106.18,205.28
7.85,188.00,6.65,24.46,114.52,193.65
8.72,190.00,7.35,27.91,106.83,183.73
9.60,191.00,6.40,30.71,97.81,175.09
10.47,191.00,5.55,32.87,91.79,167.63
11.35,189.00,5.95,33.95,87.56,161.03
12.19,186.00,6.85,32.87,84.33,155.43
13.12,183.00,6.40,32.44,81.01,149.82
13.94,179.00,6.85,31.36,78.12,145.35
14.86,177.00,7.25,30.50,75.23,140.78
15.79,177.00,8.55,31.36,72.41,136.57
16.72,178.00,12.00,33.41,69.87,132.72
